index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,6793.66,588.72,0
1,Local,0,65536,6792.92,588.78,1
2,Local,0,65536,6792.96,588.78,2
3,Local,0,65536,6792.42,588.82,3
4,Local,0,65536,6793.3,588.75,4
5,Local,0,65536,6793.04,588.78,5
6,Local,0,65536,6792.14,588.85,6
7,Local,0,65536,6791.97,588.87,7
8,Local,0,65536,6792.15,588.85,8
9,Local,0,65536,6792.39,588.83,9
10,Local,1,163840,6801.73,1470.08,0
11,Local,1,163840,6802.26,1469.97,1
12,Local,1,163840,6803.26,1469.75,2
13,Local,1,163840,6801.11,1470.21,3
14,Local,1,163840,6801.81,1470.06,4
15,Local,1,163840,6802.58,1469.9,5
16,Local,1,163840,6801.77,1470.07,6
17,Local,1,163840,6801.51,1470.12,7
18,Local,1,163840,6802.53,1469.91,8
19,Local,1,163840,6802.89,1469.83,9
20,Local,2,1638400,6804.08,14685.98,0
21,Local,2,1638400,6803.97,14686.32,1
22,Local,2,1638400,6804.37,14685.43,2
23,Local,2,1638400,6803.95,14686.16,3
24,Local,2,1638400,6803.65,14686.85,4
25,Local,2,1638400,6803.77,14686.34,5
26,Local,2,1638400,6804.21,14685.53,6
27,Local,2,1638400,6804.24,14685.69,7
28,Local,2,1638400,6804.45,14685.18,8
29,Local,2,1638400,6804.86,14684.26,9
30,Local,3,16777216,6804.81,149895.64,0
31,Local,3,16777216,6805.52,149860.7,1
32,Local,3,16777216,6805.11,149881.25,2
33,Local,3,16777216,6805.16,149887.31,3
34,Local,3,16777216,6804.53,149907.33,4
35,Local,3,16777216,6804.43,149912.78,5
36,Local,3,16777216,6804.31,149892.59,6
37,Local,3,16777216,6803.68,149917.76,7
38,Local,3,16777216,6804.19,149907.94,8
39,Local,3,16777216,6804.57,149897.48,9
