index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,2629.65,1520.75,0
1,Local,0,65536,2662.32,1502.17,1
2,Local,0,65536,2641.44,1514.05,2
3,Local,0,65536,2601.67,1537.15,3
4,Local,0,65536,2575.03,1552.82,4
5,Local,0,65536,2563.29,1560.14,5
6,Local,0,65536,2568.3,1557.21,6
7,Local,0,65536,2552.38,1566.98,7
8,Local,0,65536,2536.55,1576.65,8
9,Local,0,65536,2509.51,1593.69,9
10,Local,1,163840,2587.69,3863.2,0
11,Local,1,163840,2581.34,3873.29,1
12,Local,1,163840,2577.27,3879.1,2
13,Local,1,163840,2581.09,3873.52,3
14,Local,1,163840,2526.8,3956.75,4
15,Local,1,163840,2496.49,4004.69,5
16,Local,1,163840,2467.42,4051.48,6
17,Local,1,163840,2459.84,4064.19,7
18,Local,1,163840,2431.55,4111.67,8
19,Local,1,163840,2389.68,4178.33,9
20,Local,2,1638400,2431.18,41057.03,0
21,Local,2,1638400,2479.96,40226.14,1
22,Local,2,1638400,2374.43,42064.04,2
23,Local,2,1638400,2352.14,42414.32,3
24,Local,2,1638400,2194.92,45490.9,4
25,Local,2,1638400,2029.31,49213.0,5
26,Local,2,1638400,2070.01,48197.48,6
27,Local,2,1638400,2038.35,48956.11,7
28,Local,2,1638400,2093.21,47702.56,8
29,Local,2,1638400,2074.47,48143.38,9
30,Local,3,16777216,2330.27,431900.18,0
31,Local,3,16777216,2128.83,473006.04,1
32,Local,3,16777216,2127.59,474552.31,2
33,Local,3,16777216,2098.92,478552.18,3
34,Local,3,16777216,2022.49,496241.86,4
35,Local,3,16777216,2140.74,471301.51,5
36,Local,3,16777216,2046.12,493717.28,6
37,Local,3,16777216,2008.13,502894.73,7
38,Local,3,16777216,2112.93,475703.84,8
39,Local,3,16777216,2001.26,504311.16,9
