index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,3088.6,1294.94,0
1,Local,0,65536,1451.61,2755.19,1
2,Local,0,65536,1455.93,2747.07,2
3,Local,0,65536,1449.97,2758.38,3
4,Local,0,65536,1452.83,2752.72,4
5,Local,0,65536,1449.34,2759.06,5
6,Local,0,65536,1442.72,2771.98,6
7,Local,0,65536,1446.53,2764.98,7
8,Local,0,65536,1446.46,2765.02,8
9,Local,0,65536,1452.89,2752.67,9
10,Local,1,163840,1447.77,6904.28,0
11,Local,1,163840,1469.35,6803.33,1
12,Local,1,163840,1511.09,6615.73,2
13,Local,1,163840,1511.91,6611.99,3
14,Local,1,163840,1521.61,6570.33,4
15,Local,1,163840,1534.81,6513.64,5
16,Local,1,163840,1596.02,6264.18,6
17,Local,1,163840,1595.03,6267.55,7
18,Local,1,163840,1600.09,6248.16,8
19,Local,1,163840,3148.76,3174.86,9
20,Local,2,1638400,1457.49,68388.48,0
21,Local,2,1638400,1460.18,68248.16,1
22,Local,2,1638400,1448.67,68776.9,2
23,Local,2,1638400,1804.18,55300.66,3
24,Local,2,1638400,2002.67,49807.3,4
25,Local,2,1638400,1775.75,56113.51,5
26,Local,2,1638400,1637.81,60879.87,6
27,Local,2,1638400,1583.24,62991.55,7
28,Local,2,1638400,1522.85,65461.14,8
29,Local,2,1638400,1455.53,68477.02,9
30,Local,3,16777216,1444.71,696948.2,0
31,Local,3,16777216,1328.27,756061.21,1
32,Local,3,16777216,1012.19,984156.95,2
33,Local,3,16777216,886.3,1110179.37,3
34,Local,3,16777216,912.94,1088816.67,4
35,Local,3,16777216,836.65,1184856.32,5
36,Local,3,16777216,839.08,1193438.41,6
37,Local,3,16777216,1122.45,892414.81,7
38,Local,3,16777216,1033.71,966118.0,8
39,Local,3,16777216,970.99,1020563.89,9
