index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,6792.43,588.84,0
1,Local,0,65536,6791.99,588.88,1
2,Local,0,65536,6792.77,588.81,2
3,Local,0,65536,6792.45,588.84,3
4,Local,0,65536,6792.62,588.83,4
5,Local,0,65536,6792.97,588.8,5
6,Local,0,65536,6792.44,588.84,6
7,Local,0,65536,6792.57,588.83,7
8,Local,0,65536,6792.95,588.8,8
9,Local,0,65536,6793.25,588.77,9
10,Local,1,163840,6801.45,1470.17,0
11,Local,1,163840,6801.37,1470.13,1
12,Local,1,163840,6801.34,1470.09,2
13,Local,1,163840,6801.12,1470.16,3
14,Local,1,163840,6801.19,1470.17,4
15,Local,1,163840,6801.18,1470.18,5
16,Local,1,163840,6800.42,1470.31,6
17,Local,1,163840,6801.02,1470.25,7
18,Local,1,163840,6801.0,1470.21,8
19,Local,1,163840,6801.23,1470.21,9
20,Local,2,1638400,6803.68,14688.35,0
21,Local,2,1638400,6803.05,14688.88,1
22,Local,2,1638400,6802.75,14691.88,2
23,Local,2,1638400,6803.08,14689.36,3
24,Local,2,1638400,6804.22,14686.29,4
25,Local,2,1638400,6803.21,14688.38,5
26,Local,2,1638400,6804.12,14686.99,6
27,Local,2,1638400,6803.82,14688.88,7
28,Local,2,1638400,6804.04,14687.13,8
29,Local,2,1638400,6803.53,14688.99,9
30,Local,3,16777216,6804.16,149964.75,0
31,Local,3,16777216,6803.84,149977.12,1
32,Local,3,16777216,6802.81,149980.02,2
33,Local,3,16777216,6803.84,149971.5,3
34,Local,3,16777216,6804.0,149964.48,4
35,Local,3,16777216,6803.15,149977.44,5
36,Local,3,16777216,6802.7,149997.29,6
37,Local,3,16777216,6802.66,149996.93,7
38,Local,3,16777216,6802.79,149984.02,8
39,Local,3,16777216,6801.31,150033.79,9
