index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,6765.69,591.14,0
1,Local,0,65536,6766.45,591.09,1
2,Local,0,65536,6766.21,591.09,2
3,Local,0,65536,6766.96,591.05,3
4,Local,0,65536,6765.3,591.15,4
5,Local,0,65536,6765.48,591.17,5
6,Local,0,65536,6765.34,591.16,6
7,Local,0,65536,6766.1,591.08,7
8,Local,0,65536,6767.48,591.0,8
9,Local,0,65536,6765.19,591.16,9
10,Local,1,163840,6775.03,1475.88,0
11,Local,1,163840,6776.15,1475.6,1
12,Local,1,163840,6775.99,1475.67,2
13,Local,1,163840,6774.38,1475.97,3
14,Local,1,163840,6773.37,1476.09,4
15,Local,1,163840,6776.43,1475.52,5
16,Local,1,163840,6774.86,1475.87,6
17,Local,1,163840,6776.0,1475.66,7
18,Local,1,163840,6775.46,1475.78,8
19,Local,1,163840,6773.86,1476.05,9
20,Local,2,1638400,6781.92,14734.51,0
21,Local,2,1638400,6778.98,14739.44,1
22,Local,2,1638400,6781.52,14735.66,2
23,Local,2,1638400,6780.26,14737.51,3
24,Local,2,1638400,6782.02,14733.71,4
25,Local,2,1638400,6782.32,14733.5,5
26,Local,2,1638400,6782.8,14732.37,6
27,Local,2,1638400,6780.68,14736.11,7
28,Local,2,1638400,6780.58,14736.77,8
29,Local,2,1638400,6780.82,14736.36,9
30,Local,3,16777216,6783.25,150399.46,0
31,Local,3,16777216,6782.27,150418.09,1
32,Local,3,16777216,6783.65,150389.43,2
33,Local,3,16777216,6782.53,150421.51,3
34,Local,3,16777216,6783.26,150390.84,4
35,Local,3,16777216,6783.95,150381.98,5
36,Local,3,16777216,6783.35,150388.81,6
37,Local,3,16777216,6783.62,150394.78,7
38,Local,3,16777216,6783.6,150393.32,8
39,Local,3,16777216,6783.54,150395.9,9
