index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,1467.33,2725.75,0
1,Local,0,65536,1468.93,2722.58,1
2,Local,0,65536,1476.16,2709.39,2
3,Local,0,65536,1478.17,2705.74,3
4,Local,0,65536,1465.01,2729.96,4
5,Local,0,65536,1518.59,2633.69,5
6,Local,0,65536,1558.47,2566.14,6
7,Local,0,65536,1560.3,2563.31,7
8,Local,0,65536,1565.01,2555.63,8
9,Local,0,65536,1520.19,2630.96,9
10,Local,1,163840,1504.95,6642.27,0
11,Local,1,163840,1592.52,6277.44,1
12,Local,1,163840,1626.64,6145.34,2
13,Local,1,163840,1561.5,6402.34,3
14,Local,1,163840,1627.54,6142.42,4
15,Local,1,163840,1603.15,6235.31,5
16,Local,1,163840,1605.92,6224.77,6
17,Local,1,163840,1630.89,6130.27,7
18,Local,1,163840,5645.16,1771.3,8
19,Local,1,163840,5832.65,1714.33,9
20,Local,2,1638400,5921.29,16858.23,0
21,Local,2,1638400,6001.36,16649.19,1
22,Local,2,1638400,5942.33,16808.02,2
23,Local,2,1638400,5971.86,16730.73,3
24,Local,2,1638400,5963.98,16742.71,4
25,Local,2,1638400,5966.19,16745.45,5
26,Local,2,1638400,5979.13,16700.83,6
27,Local,2,1638400,5911.43,16902.63,7
28,Local,2,1638400,5923.55,16867.07,8
29,Local,2,1638400,5791.01,17253.08,9
30,Local,3,16777216,6013.8,169311.43,0
31,Local,3,16777216,6037.01,168875.63,1
32,Local,3,16777216,6068.0,168140.5,2
33,Local,3,16777216,5790.38,176039.99,3
34,Local,3,16777216,6047.48,168431.39,4
35,Local,3,16777216,6061.45,168324.67,5
36,Local,3,16777216,6119.95,166327.42,6
37,Local,3,16777216,5910.17,172103.66,7
38,Local,3,16777216,6024.51,169025.54,8
39,Local,3,16777216,6044.97,168701.43,9
