index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,1,4,spdk_bdev,285.71,0
1,Local,0,1,4,spdk_bdev,285.71,1
2,Local,0,1,4,spdk_bdev,285.71,2
3,Local,0,1,4,spdk_bdev,285.71,3
4,Local,0,1,4,spdk_bdev,285.71,4
5,Local,0,1,4,spdk_bdev,285.71,5
6,Local,0,1,4,spdk_bdev,285.71,6
7,Local,0,1,4,spdk_bdev,285.71,7
8,Local,0,1,4,spdk_bdev,285.71,8
9,Local,0,1,4,spdk_bdev,285.71,9
10,Local,1,16,4,spdk_bdev,285.71,0
11,Local,1,16,4,spdk_bdev,285.71,1
12,Local,1,16,4,spdk_bdev,285.71,2
13,Local,1,16,4,spdk_bdev,285.71,3
14,Local,1,16,4,spdk_bdev,285.71,4
15,Local,1,16,4,spdk_bdev,285.71,5
16,Local,1,16,4,spdk_bdev,285.71,6
17,Local,1,16,4,spdk_bdev,285.71,7
18,Local,1,16,4,spdk_bdev,285.71,8
19,Local,1,16,4,spdk_bdev,285.71,9
20,Local,2,32,4,spdk_bdev,285.71,0
21,Local,2,32,4,spdk_bdev,285.71,1
22,Local,2,32,4,spdk_bdev,285.71,2
23,Local,2,32,4,spdk_bdev,285.71,3
24,Local,2,32,4,spdk_bdev,285.71,4
25,Local,2,32,4,spdk_bdev,285.71,5
26,Local,2,32,4,spdk_bdev,285.71,6
27,Local,2,32,4,spdk_bdev,285.71,7
28,Local,2,32,4,spdk_bdev,285.71,8
29,Local,2,32,4,spdk_bdev,285.71,9
30,Local,3,1,10,spdk_bdev,526.31,0
31,Local,3,1,10,spdk_bdev,526.31,1
32,Local,3,1,10,spdk_bdev,526.31,2
33,Local,3,1,10,spdk_bdev,526.31,3
34,Local,3,1,10,spdk_bdev,526.31,4
35,Local,3,1,10,spdk_bdev,526.31,5
36,Local,3,1,10,spdk_bdev,526.31,6
37,Local,3,1,10,spdk_bdev,526.31,7
38,Local,3,1,10,spdk_bdev,526.31,8
39,Local,3,1,10,spdk_bdev,526.31,9
40,Local,4,16,10,spdk_bdev,526.31,0
41,Local,4,16,10,spdk_bdev,526.31,1
42,Local,4,16,10,spdk_bdev,526.31,2
43,Local,4,16,10,spdk_bdev,526.31,3
44,Local,4,16,10,spdk_bdev,526.31,4
45,Local,4,16,10,spdk_bdev,526.31,5
46,Local,4,16,10,spdk_bdev,526.31,6
47,Local,4,16,10,spdk_bdev,526.31,7
48,Local,4,16,10,spdk_bdev,526.31,8
49,Local,4,16,10,spdk_bdev,526.31,9
50,Local,5,32,10,spdk_bdev,526.31,0
51,Local,5,32,10,spdk_bdev,526.31,1
52,Local,5,32,10,spdk_bdev,526.31,2
53,Local,5,32,10,spdk_bdev,526.31,3
54,Local,5,32,10,spdk_bdev,526.31,4
55,Local,5,32,10,spdk_bdev,526.31,5
56,Local,5,32,10,spdk_bdev,526.31,6
57,Local,5,32,10,spdk_bdev,526.31,7
58,Local,5,32,10,spdk_bdev,526.31,8
59,Local,5,32,10,spdk_bdev,526.31,9
60,Local,6,1,100,spdk_bdev,2631.57,0
61,Local,6,1,100,spdk_bdev,2631.57,1
62,Local,6,1,100,spdk_bdev,2631.57,2
63,Local,6,1,100,spdk_bdev,2631.57,3
64,Local,6,1,100,spdk_bdev,2631.57,4
65,Local,6,1,100,spdk_bdev,2631.57,5
66,Local,6,1,100,spdk_bdev,2631.57,6
67,Local,6,1,100,spdk_bdev,2631.57,7
68,Local,6,1,100,spdk_bdev,2222.22,8
69,Local,6,1,100,spdk_bdev,2631.57,9
70,Local,7,16,100,spdk_bdev,3030.3,0
71,Local,7,16,100,spdk_bdev,3030.3,1
72,Local,7,16,100,spdk_bdev,3030.3,2
73,Local,7,16,100,spdk_bdev,3030.3,3
74,Local,7,16,100,spdk_bdev,3030.3,4
75,Local,7,16,100,spdk_bdev,3030.3,5
76,Local,7,16,100,spdk_bdev,3030.3,6
77,Local,7,16,100,spdk_bdev,3030.3,7
78,Local,7,16,100,spdk_bdev,3030.3,8
79,Local,7,16,100,spdk_bdev,3030.3,9
80,Local,8,32,100,spdk_bdev,2941.17,0
81,Local,8,32,100,spdk_bdev,3030.3,1
82,Local,8,32,100,spdk_bdev,2083.33,2
83,Local,8,32,100,spdk_bdev,2941.17,3
84,Local,8,32,100,spdk_bdev,3030.3,4
85,Local,8,32,100,spdk_bdev,2941.17,5
86,Local,8,32,100,spdk_bdev,2941.17,6
87,Local,8,32,100,spdk_bdev,2941.17,7
88,Local,8,32,100,spdk_bdev,3030.3,8
89,Local,8,32,100,spdk_bdev,3030.3,9
90,Local,9,1,1024,spdk_bdev,4112.44,0
91,Local,9,1,1024,spdk_bdev,4284.51,1
92,Local,9,1,1024,spdk_bdev,4248.96,2
93,Local,9,1,1024,spdk_bdev,4112.44,3
94,Local,9,1,1024,spdk_bdev,4145.74,4
95,Local,9,1,1024,spdk_bdev,4413.79,5
96,Local,9,1,1024,spdk_bdev,4129.03,6
97,Local,9,1,1024,spdk_bdev,4179.59,7
98,Local,9,1,1024,spdk_bdev,4179.59,8
99,Local,9,1,1024,spdk_bdev,4413.79,9
100,Local,10,16,1024,spdk_bdev,5446.8,0
101,Local,10,16,1024,spdk_bdev,5475.93,1
102,Local,10,16,1024,spdk_bdev,5657.45,2
103,Local,10,16,1024,spdk_bdev,5720.67,3
104,Local,10,16,1024,spdk_bdev,5475.93,4
105,Local,10,16,1024,spdk_bdev,5475.93,5
106,Local,10,16,1024,spdk_bdev,5851.42,6
107,Local,10,16,1024,spdk_bdev,5505.37,7
108,Local,10,16,1024,spdk_bdev,5475.93,8
109,Local,10,16,1024,spdk_bdev,5475.93,9
110,Local,11,32,1024,spdk_bdev,5851.42,0
111,Local,11,32,1024,spdk_bdev,5417.98,1
112,Local,11,32,1024,spdk_bdev,5446.8,2
113,Local,11,32,1024,spdk_bdev,5657.45,3
114,Local,11,32,1024,spdk_bdev,5720.67,4
115,Local,11,32,1024,spdk_bdev,5446.8,5
116,Local,11,32,1024,spdk_bdev,5475.93,6
117,Local,11,32,1024,spdk_bdev,5885.05,7
118,Local,11,32,1024,spdk_bdev,5417.98,8
119,Local,11,32,1024,spdk_bdev,5417.98,9
120,Local,12,1,4,libaio,285.71,0
121,Local,12,1,4,libaio,2000.0,1
122,Local,12,1,4,libaio,2000.0,2
123,Local,12,1,4,libaio,2000.0,3
124,Local,12,1,4,libaio,2000.0,4
125,Local,12,1,4,libaio,2000.0,5
126,Local,12,1,4,libaio,2000.0,6
127,Local,12,1,4,libaio,2000.0,7
128,Local,12,1,4,libaio,2000.0,8
129,Local,12,1,4,libaio,2000.0,9
130,Local,13,16,4,libaio,2000.0,0
131,Local,13,16,4,libaio,1333.33,1
132,Local,13,16,4,libaio,1000.0,2
133,Local,13,16,4,libaio,1333.33,3
134,Local,13,16,4,libaio,1333.33,4
135,Local,13,16,4,libaio,1333.33,5
136,Local,13,16,4,libaio,1333.33,6
137,Local,13,16,4,libaio,1000.0,7
138,Local,13,16,4,libaio,1333.33,8
139,Local,13,16,4,libaio,1333.33,9
140,Local,14,32,4,libaio,1333.33,0
141,Local,14,32,4,libaio,1333.33,1
142,Local,14,32,4,libaio,1333.33,2
143,Local,14,32,4,libaio,1333.33,3
144,Local,14,32,4,libaio,1333.33,4
145,Local,14,32,4,libaio,1333.33,5
146,Local,14,32,4,libaio,1333.33,6
147,Local,14,32,4,libaio,1000.0,7
148,Local,14,32,4,libaio,1333.33,8
149,Local,14,32,4,libaio,1333.33,9
150,Local,15,1,10,libaio,3333.33,0
151,Local,15,1,10,libaio,2500.0,1
152,Local,15,1,10,libaio,3333.33,2
153,Local,15,1,10,libaio,3333.33,3
154,Local,15,1,10,libaio,2500.0,4
155,Local,15,1,10,libaio,2500.0,5
156,Local,15,1,10,libaio,3333.33,6
157,Local,15,1,10,libaio,3333.33,7
158,Local,15,1,10,libaio,3333.33,8
159,Local,15,1,10,libaio,2500.0,9
160,Local,16,16,10,libaio,2500.0,0
161,Local,16,16,10,libaio,2500.0,1
162,Local,16,16,10,libaio,2000.0,2
163,Local,16,16,10,libaio,2500.0,3
164,Local,16,16,10,libaio,2500.0,4
165,Local,16,16,10,libaio,2500.0,5
166,Local,16,16,10,libaio,2500.0,6
167,Local,16,16,10,libaio,2000.0,7
168,Local,16,16,10,libaio,2500.0,8
169,Local,16,16,10,libaio,2500.0,9
170,Local,17,32,10,libaio,2500.0,0
171,Local,17,32,10,libaio,2500.0,1
172,Local,17,32,10,libaio,2000.0,2
173,Local,17,32,10,libaio,2500.0,3
174,Local,17,32,10,libaio,2500.0,4
175,Local,17,32,10,libaio,2500.0,5
176,Local,17,32,10,libaio,2500.0,6
177,Local,17,32,10,libaio,2000.0,7
178,Local,17,32,10,libaio,2500.0,8
179,Local,17,32,10,libaio,2500.0,9
180,Local,18,1,100,libaio,4166.66,0
181,Local,18,1,100,libaio,4166.66,1
182,Local,18,1,100,libaio,4000.0,2
183,Local,18,1,100,libaio,4166.66,3
184,Local,18,1,100,libaio,2777.77,4
185,Local,18,1,100,libaio,4166.66,5
186,Local,18,1,100,libaio,4166.66,6
187,Local,18,1,100,libaio,4166.66,7
188,Local,18,1,100,libaio,4166.66,8
189,Local,18,1,100,libaio,4000.0,9
190,Local,19,16,100,libaio,5555.55,0
191,Local,19,16,100,libaio,5263.15,1
192,Local,19,16,100,libaio,5263.15,2
193,Local,19,16,100,libaio,5263.15,3
194,Local,19,16,100,libaio,5263.15,4
195,Local,19,16,100,libaio,5263.15,5
196,Local,19,16,100,libaio,5000.0,6
197,Local,19,16,100,libaio,5000.0,7
198,Local,19,16,100,libaio,3846.15,8
199,Local,19,16,100,libaio,4347.82,9
200,Local,20,32,100,libaio,5882.35,0
201,Local,20,32,100,libaio,4761.9,1
202,Local,20,32,100,libaio,4761.9,2
203,Local,20,32,100,libaio,4545.45,3
204,Local,20,32,100,libaio,4761.9,4
205,Local,20,32,100,libaio,4761.9,5
206,Local,20,32,100,libaio,4761.9,6
207,Local,20,32,100,libaio,4761.9,7
208,Local,20,32,100,libaio,4545.45,8
209,Local,20,32,100,libaio,4761.9,9
210,Local,21,1,1024,libaio,4231.4,0
211,Local,21,1,1024,libaio,4231.4,1
212,Local,21,1,1024,libaio,4357.44,2
213,Local,21,1,1024,libaio,4179.59,3
214,Local,21,1,1024,libaio,4145.74,4
215,Local,21,1,1024,libaio,4162.6,5
216,Local,21,1,1024,libaio,4471.61,6
217,Local,21,1,1024,libaio,4248.96,7
218,Local,21,1,1024,libaio,4162.6,8
219,Local,21,1,1024,libaio,4179.59,9
220,Local,22,16,1024,libaio,6400.0,0
221,Local,22,16,1024,libaio,5919.07,1
222,Local,22,16,1024,libaio,5851.42,2
223,Local,22,16,1024,libaio,6360.24,3
224,Local,22,16,1024,libaio,5885.05,4
225,Local,22,16,1024,libaio,5851.42,5
226,Local,22,16,1024,libaio,5851.42,6
227,Local,22,16,1024,libaio,6400.0,7
228,Local,22,16,1024,libaio,5851.42,8
229,Local,22,16,1024,libaio,5919.07,9
230,Local,23,32,1024,libaio,5851.42,0
231,Local,23,32,1024,libaio,6400.0,1
232,Local,23,32,1024,libaio,5785.31,2
233,Local,23,32,1024,libaio,5851.42,3
234,Local,23,32,1024,libaio,6400.0,4
235,Local,23,32,1024,libaio,5885.05,5
236,Local,23,32,1024,libaio,5818.18,6
237,Local,23,32,1024,libaio,5885.05,7
238,Local,23,32,1024,libaio,6320.98,8
239,Local,23,32,1024,libaio,5752.8,9
