index,build,test_index,SIZE,TRANSPORT,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,65536,RDMA,4141.12,965.61,0
1,Local,0,65536,RDMA,4133.08,967.48,1
2,Local,0,65536,RDMA,4147.93,963.99,2
3,Local,0,65536,RDMA,4145.17,964.66,3
4,Local,0,65536,RDMA,4141.7,965.45,4
5,Local,0,65536,RDMA,4144.18,964.93,5
6,Local,0,65536,RDMA,4140.52,965.73,6
7,Local,0,65536,RDMA,4147.63,964.1,7
8,Local,0,65536,RDMA,4144.05,964.94,8
9,Local,0,65536,RDMA,4139.2,966.05,9
10,Local,1,163840,RDMA,6310.41,1584.12,0
11,Local,1,163840,RDMA,6307.73,1584.73,1
12,Local,1,163840,RDMA,6308.37,1584.62,2
13,Local,1,163840,RDMA,6311.46,1583.84,3
14,Local,1,163840,RDMA,6308.26,1584.66,4
15,Local,1,163840,RDMA,6303.44,1585.8,5
16,Local,1,163840,RDMA,6302.36,1586.11,6
17,Local,1,163840,RDMA,6310.67,1583.93,7
18,Local,1,163840,RDMA,6311.83,1583.74,8
19,Local,1,163840,RDMA,6313.54,1583.32,9
20,Local,2,1638400,RDMA,6372.64,15678.6,0
21,Local,2,1638400,RDMA,6375.2,15673.38,1
22,Local,2,1638400,RDMA,6366.73,15692.98,2
23,Local,2,1638400,RDMA,6376.13,15671.38,3
24,Local,2,1638400,RDMA,6372.77,15678.75,4
25,Local,2,1638400,RDMA,6369.71,15686.33,5
26,Local,2,1638400,RDMA,6368.98,15687.86,6
27,Local,2,1638400,RDMA,6366.07,15695.04,7
28,Local,2,1638400,RDMA,6373.45,15677.14,8
29,Local,2,1638400,RDMA,6367.44,15691.55,9
30,Local,3,16777216,RDMA,6296.99,323001.23,0
31,Local,3,16777216,RDMA,6296.92,322996.23,1
32,Local,3,16777216,RDMA,6300.97,322820.52,2
33,Local,3,16777216,RDMA,6300.73,322820.07,3
34,Local,3,16777216,RDMA,6295.4,323098.86,4
35,Local,3,16777216,RDMA,6299.6,322857.1,5
36,Local,3,16777216,RDMA,6298.19,322962.57,6
37,Local,3,16777216,RDMA,6304.68,322634.94,7
38,Local,3,16777216,RDMA,6300.92,322801.3,8
39,Local,3,16777216,RDMA,6298.55,322945.94,9
40,Local,4,65536,TCP,437.55,9136.59,0
41,Local,4,65536,TCP,435.86,9171.93,1
42,Local,4,65536,TCP,443.85,9006.8,2
43,Local,4,65536,TCP,428.33,9333.4,3
44,Local,4,65536,TCP,445.27,8977.9,4
45,Local,4,65536,TCP,410.11,9747.79,5
46,Local,4,65536,TCP,448.55,8911.81,6
47,Local,4,65536,TCP,434.75,9195.5,7
48,Local,4,65536,TCP,427.21,9357.56,8
49,Local,4,65536,TCP,441.84,9047.55,9
50,Local,5,163840,TCP,515.14,19392.57,0
51,Local,5,163840,TCP,521.91,19140.12,1
52,Local,5,163840,TCP,514.01,19433.4,2
53,Local,5,163840,TCP,347.82,28702.68,3
54,Local,5,163840,TCP,565.05,17679.23,4
55,Local,5,163840,TCP,509.95,19588.73,5
56,Local,5,163840,TCP,563.87,17716.38,6
57,Local,5,163840,TCP,353.84,28210.79,7
58,Local,5,163840,TCP,555.22,17990.44,8
59,Local,5,163840,TCP,516.71,19332.7,9
60,Local,6,1638400,TCP,569.46,174169.68,0
61,Local,6,1638400,TCP,520.64,190383.4,1
62,Local,6,1638400,TCP,548.38,180826.25,2
63,Local,6,1638400,TCP,342.61,288041.97,3
64,Local,6,1638400,TCP,562.98,176133.92,4
65,Local,6,1638400,TCP,560.7,176857.67,5
66,Local,6,1638400,TCP,343.31,287196.86,6
67,Local,6,1638400,TCP,515.04,192424.88,7
68,Local,6,1638400,TCP,540.13,183543.38,8
69,Local,6,1638400,TCP,343.32,287343.75,9
70,Local,7,16777216,TCP,572.1,3493613.33,0
71,Local,7,16777216,TCP,345.83,5720533.6,1
72,Local,7,16777216,TCP,533.86,3744634.35,2
73,Local,7,16777216,TCP,570.87,3500929.71,3
74,Local,7,16777216,TCP,525.13,3806618.77,4
75,Local,7,16777216,TCP,342.98,5764388.64,5
76,Local,7,16777216,TCP,333.46,5924880.8,6
77,Local,7,16777216,TCP,334.63,5912492.32,7
78,Local,7,16777216,TCP,551.67,3622384.11,8
79,Local,7,16777216,TCP,331.31,5970019.2,9
