index,build,test_index,SIZE,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,4096,283624862.0,921921.797217,0
1,Local,0,4096,240803192.0,1085284.142285,1
2,Local,0,4096,243410185.0,1073650.119553,2
3,Local,0,4096,245519203.0,1064473.623076,3
4,Local,0,4096,244049852.0,1070840.443901,4
5,Local,0,4096,257301038.0,1015950.573021,5
6,Local,0,4096,289118137.0,904425.908249,6
7,Local,0,4096,243996615.0,1071171.25081,7
8,Local,0,4096,232918331.0,1122128.290111,8
9,Local,0,4096,243624772.0,1072782.828363,9
10,Local,1,8192,468860544.0,1115546.161368,0
11,Local,1,8192,473817351.0,1104030.009023,1
12,Local,1,8192,553535782.0,944825.122618,2
13,Local,1,8192,471145655.0,1110178.65391,3
14,Local,1,8192,471098151.0,1110280.014048,4
15,Local,1,8192,466007022.0,1122305.427165,5
16,Local,1,8192,469764760.0,1113386.689873,6
17,Local,1,8192,459412143.0,1138281.729165,7
18,Local,1,8192,454358689.0,1151041.395823,8
19,Local,1,8192,550225238.0,950493.343336,9
20,Local,2,16384,857268802.0,1220715.386307,0
21,Local,2,16384,846251127.0,1236561.413705,1
22,Local,2,16384,860443386.0,1216171.952109,2
23,Local,2,16384,852131807.0,1228057.656689,3
24,Local,2,16384,862907047.0,1212684.564678,4
25,Local,2,16384,855778156.0,1222799.431216,5
26,Local,2,16384,861626074.0,1214504.551312,6
27,Local,2,16384,1050433574.0,995765.301141,7
28,Local,2,16384,832986017.0,1256180.043027,8
29,Local,2,16384,860259922.0,1216427.040783,9
30,Local,3,32768,1948172592.0,1073722.894036,0
31,Local,3,32768,1969277517.0,1062161.683838,1
32,Local,3,32768,1499681478.0,1395736.032729,2
33,Local,3,32768,1487494219.0,1407116.928032,3
34,Local,3,32768,1511632854.0,1384708.421087,4
35,Local,3,32768,1493863044.0,1401118.122492,5
36,Local,3,32768,1502145138.0,1393460.501887,6
37,Local,3,32768,1933443045.0,1081878.692926,7
38,Local,3,32768,1476610866.0,1417356.232816,8
39,Local,3,32768,1513958917.0,1382595.852124,9
40,Local,4,65536,2459061160.0,1702562.972758,0
41,Local,4,65536,2436390238.0,1718410.550562,1
42,Local,4,65536,3446530508.0,1214141.441035,2
43,Local,4,65536,2570581128.0,1628596.379952,3
44,Local,4,65536,2464591292.0,1698676.56308,4
45,Local,4,65536,2431856054.0,1721625.421613,5
46,Local,4,65536,2422486280.0,1728301.148828,6
47,Local,4,65536,2385832772.0,1754806.784567,7
48,Local,4,65536,2427426706.0,1724724.650984,8
49,Local,4,65536,2441487920.0,1714895.069025,9
