index,build,test_index,SIZE,TRANSPORT,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,4096,RDMA,2799.23,89.12,0
1,Local,0,4096,RDMA,2877.71,86.69,1
2,Local,0,4096,RDMA,2817.22,88.54,2
3,Local,0,4096,RDMA,2831.2,88.11,3
4,Local,0,4096,RDMA,2871.8,86.87,4
5,Local,0,4096,RDMA,2845.63,87.67,5
6,Local,0,4096,RDMA,2819.52,88.47,6
7,Local,0,4096,RDMA,2819.33,88.48,7
8,Local,0,4096,RDMA,2880.44,86.61,8
9,Local,0,4096,RDMA,2862.69,87.15,9
10,Local,1,8192,RDMA,4096.84,121.84,0
11,Local,1,8192,RDMA,4080.34,122.34,1
12,Local,1,8192,RDMA,4086.7,122.15,2
13,Local,1,8192,RDMA,4093.82,121.93,3
14,Local,1,8192,RDMA,4098.1,121.82,4
15,Local,1,8192,RDMA,4096.27,121.87,5
16,Local,1,8192,RDMA,4094.03,121.93,6
17,Local,1,8192,RDMA,4063.55,122.85,7
18,Local,1,8192,RDMA,4096.32,121.86,8
19,Local,1,8192,RDMA,4097.66,121.82,9
20,Local,2,16384,RDMA,3723.72,268.33,0
21,Local,2,16384,RDMA,3723.03,268.38,1
22,Local,2,16384,RDMA,3729.72,267.89,2
23,Local,2,16384,RDMA,3727.86,268.02,3
24,Local,2,16384,RDMA,3726.67,268.07,4
25,Local,2,16384,RDMA,3728.66,267.96,5
26,Local,2,16384,RDMA,3726.1,268.15,6
27,Local,2,16384,RDMA,3720.58,268.55,7
28,Local,2,16384,RDMA,3728.33,267.99,8
29,Local,2,16384,RDMA,3728.47,267.96,9
30,Local,3,32768,RDMA,4074.62,490.59,0
31,Local,3,32768,RDMA,4078.09,490.16,1
32,Local,3,32768,RDMA,4071.77,490.9,2
33,Local,3,32768,RDMA,4074.87,490.55,3
34,Local,3,32768,RDMA,4079.6,489.99,4
35,Local,3,32768,RDMA,4074.95,490.55,5
36,Local,3,32768,RDMA,4074.08,490.66,6
37,Local,3,32768,RDMA,4074.62,490.57,7
38,Local,3,32768,RDMA,4078.19,490.15,8
39,Local,3,32768,RDMA,4074.76,490.58,9
40,Local,4,65536,RDMA,4141.12,965.61,0
41,Local,4,65536,RDMA,4133.08,967.48,1
42,Local,4,65536,RDMA,4147.93,963.99,2
43,Local,4,65536,RDMA,4145.17,964.66,3
44,Local,4,65536,RDMA,4141.7,965.45,4
45,Local,4,65536,RDMA,4144.18,964.93,5
46,Local,4,65536,RDMA,4140.52,965.73,6
47,Local,4,65536,RDMA,4147.63,964.1,7
48,Local,4,65536,RDMA,4144.05,964.94,8
49,Local,4,65536,RDMA,4139.2,966.05,9
50,Local,5,4096,TCP,285.5,875.22,0
51,Local,5,4096,TCP,254.82,980.51,1
52,Local,5,4096,TCP,300.29,832.11,2
53,Local,5,4096,TCP,288.98,864.66,3
54,Local,5,4096,TCP,294.41,848.71,4
55,Local,5,4096,TCP,251.83,992.14,5
56,Local,5,4096,TCP,299.11,835.33,6
57,Local,5,4096,TCP,300.83,830.58,7
58,Local,5,4096,TCP,231.82,1077.88,8
59,Local,5,4096,TCP,293.71,850.77,9
60,Local,6,8192,TCP,328.69,1520.46,0
61,Local,6,8192,TCP,332.78,1501.7,1
62,Local,6,8192,TCP,329.97,1514.58,2
63,Local,6,8192,TCP,331.29,1508.53,3
64,Local,6,8192,TCP,208.84,2392.5,4
65,Local,6,8192,TCP,337.49,1480.85,5
66,Local,6,8192,TCP,340.81,1466.32,6
67,Local,6,8192,TCP,321.68,1553.61,7
68,Local,6,8192,TCP,334.97,1492.0,8
69,Local,6,8192,TCP,341.31,1464.19,9
70,Local,7,16384,TCP,361.56,2764.68,0
71,Local,7,16384,TCP,360.42,2773.42,1
72,Local,7,16384,TCP,362.91,2754.37,2
73,Local,7,16384,TCP,358.98,2784.51,3
74,Local,7,16384,TCP,360.88,2769.85,4
75,Local,7,16384,TCP,362.23,2759.54,5
76,Local,7,16384,TCP,230.88,4328.1,6
77,Local,7,16384,TCP,379.39,2634.66,7
78,Local,7,16384,TCP,221.06,4520.19,8
79,Local,7,16384,TCP,382.57,2612.79,9
80,Local,8,32768,TCP,417.23,4791.21,0
81,Local,8,32768,TCP,418.3,4778.94,1
82,Local,8,32768,TCP,414.01,4828.47,2
83,Local,8,32768,TCP,252.62,7908.79,3
84,Local,8,32768,TCP,392.18,5097.51,4
85,Local,8,32768,TCP,404.55,4941.51,5
86,Local,8,32768,TCP,423.01,4725.89,6
87,Local,8,32768,TCP,402.57,4965.77,7
88,Local,8,32768,TCP,257.94,7746.02,8
89,Local,8,32768,TCP,251.39,7948.0,9
90,Local,9,65536,TCP,437.55,9136.59,0
91,Local,9,65536,TCP,435.86,9171.93,1
92,Local,9,65536,TCP,443.85,9006.8,2
93,Local,9,65536,TCP,428.33,9333.4,3
94,Local,9,65536,TCP,445.27,8977.9,4
95,Local,9,65536,TCP,410.11,9747.79,5
96,Local,9,65536,TCP,448.55,8911.81,6
97,Local,9,65536,TCP,434.75,9195.5,7
98,Local,9,65536,TCP,427.21,9357.56,8
99,Local,9,65536,TCP,441.84,9047.55,9
