index,build,test_index,SIZE,TRANSPORT,y_BANDWIDTH,y_LATENCY,run_index
0,Local,0,4096,RDMA,1826.69,136.7,0
1,Local,0,4096,RDMA,1080.13,231.27,1
2,Local,0,4096,RDMA,877.14,284.83,2
3,Local,0,4096,RDMA,749.79,333.26,3
4,Local,0,4096,RDMA,799.17,312.65,4
5,Local,0,4096,RDMA,620.26,402.88,5
6,Local,0,4096,RDMA,627.72,398.1,6
7,Local,0,4096,RDMA,603.87,413.77,7
8,Local,0,4096,RDMA,626.22,399.08,8
9,Local,0,4096,RDMA,751.06,332.7,9
10,Local,1,8192,RDMA,618.81,807.75,0
11,Local,1,8192,RDMA,602.38,829.85,1
12,Local,1,8192,RDMA,615.34,812.32,2
13,Local,1,8192,RDMA,579.1,863.16,3
14,Local,1,8192,RDMA,621.11,804.78,4
15,Local,1,8192,RDMA,590.71,846.25,5
16,Local,1,8192,RDMA,580.5,861.1,6
17,Local,1,8192,RDMA,566.31,882.69,7
18,Local,1,8192,RDMA,552.54,904.67,8
19,Local,1,8192,RDMA,564.2,886.0,9
20,Local,2,16384,RDMA,561.51,1780.65,0
21,Local,2,16384,RDMA,557.69,1792.88,1
22,Local,2,16384,RDMA,544.29,1836.82,2
23,Local,2,16384,RDMA,558.52,1790.2,3
24,Local,2,16384,RDMA,525.3,1903.34,4
25,Local,2,16384,RDMA,610.99,1636.46,5
26,Local,2,16384,RDMA,392.94,2544.71,6
27,Local,2,16384,RDMA,387.85,2578.09,7
28,Local,2,16384,RDMA,591.04,1691.66,8
29,Local,2,16384,RDMA,514.69,1942.55,9
30,Local,3,32768,RDMA,511.73,3907.65,0
31,Local,3,32768,RDMA,510.92,3914.0,1
32,Local,3,32768,RDMA,500.32,3996.84,2
33,Local,3,32768,RDMA,493.83,4049.57,3
34,Local,3,32768,RDMA,478.22,4181.47,4
35,Local,3,32768,RDMA,475.97,4201.4,5
36,Local,3,32768,RDMA,480.13,4165.53,6
37,Local,3,32768,RDMA,462.57,4323.64,7
38,Local,3,32768,RDMA,471.42,4241.75,8
39,Local,3,32768,RDMA,497.84,4017.15,9
40,Local,4,65536,RDMA,541.13,7390.0,0
41,Local,4,65536,RDMA,466.71,8568.97,1
42,Local,4,65536,RDMA,458.39,8724.87,2
43,Local,4,65536,RDMA,445.66,8974.45,3
44,Local,4,65536,RDMA,457.08,8748.68,4
45,Local,4,65536,RDMA,650.35,6149.65,5
46,Local,4,65536,RDMA,443.26,9022.71,6
47,Local,4,65536,RDMA,451.35,8860.96,7
48,Local,4,65536,RDMA,440.05,9089.07,8
49,Local,4,65536,RDMA,443.9,9009.76,9
50,Local,5,4096,TCP,416.57,599.84,0
51,Local,5,4096,TCP,328.9,759.74,1
52,Local,5,4096,TCP,369.35,676.54,2
53,Local,5,4096,TCP,445.16,561.28,3
54,Local,5,4096,TCP,499.08,500.62,4
55,Local,5,4096,TCP,459.69,543.52,5
56,Local,5,4096,TCP,349.03,715.71,6
57,Local,5,4096,TCP,450.77,554.31,7
58,Local,5,4096,TCP,455.96,547.99,8
59,Local,5,4096,TCP,461.67,541.19,9
60,Local,6,8192,TCP,452.53,1104.44,0
61,Local,6,8192,TCP,446.4,1119.6,1
62,Local,6,8192,TCP,435.84,1146.71,2
63,Local,6,8192,TCP,441.15,1132.93,3
64,Local,6,8192,TCP,502.73,994.14,4
65,Local,6,8192,TCP,431.59,1158.05,5
66,Local,6,8192,TCP,426.83,1171.0,6
67,Local,6,8192,TCP,440.76,1133.88,7
68,Local,6,8192,TCP,439.52,1137.1,8
69,Local,6,8192,TCP,436.88,1144.04,9
70,Local,7,16384,TCP,409.8,2439.43,0
71,Local,7,16384,TCP,419.36,2383.67,1
72,Local,7,16384,TCP,409.69,2440.15,2
73,Local,7,16384,TCP,417.18,2396.32,3
74,Local,7,16384,TCP,409.12,2443.58,4
75,Local,7,16384,TCP,405.94,2462.68,5
76,Local,7,16384,TCP,407.95,2450.77,6
77,Local,7,16384,TCP,413.98,2415.04,7
78,Local,7,16384,TCP,461.19,2167.54,8
79,Local,7,16384,TCP,385.49,2593.38,9
80,Local,8,32768,TCP,383.36,5215.57,0
81,Local,8,32768,TCP,386.45,5174.02,1
82,Local,8,32768,TCP,390.96,5114.61,2
83,Local,8,32768,TCP,391.91,5102.39,3
84,Local,8,32768,TCP,386.37,5175.68,4
85,Local,8,32768,TCP,402.65,4966.07,5
86,Local,8,32768,TCP,388.71,5144.42,6
87,Local,8,32768,TCP,375.49,5325.25,7
88,Local,8,32768,TCP,374.03,5346.4,8
89,Local,8,32768,TCP,376.81,5306.65,9
90,Local,9,65536,TCP,368.58,10850.5,0
91,Local,9,65536,TCP,369.23,10830.55,1
92,Local,9,65536,TCP,473.95,8437.74,2
93,Local,9,65536,TCP,362.61,11029.18,3
94,Local,9,65536,TCP,367.62,10868.49,4
95,Local,9,65536,TCP,351.92,11363.69,5
96,Local,9,65536,TCP,353.17,11323.46,6
97,Local,9,65536,TCP,353.85,11301.48,7
98,Local,9,65536,TCP,351.23,11386.76,8
99,Local,9,65536,TCP,352.22,11355.11,9
