index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,1,4,spdk_bdev,102.56,0
1,Local,0,1,4,spdk_bdev,102.56,1
2,Local,0,1,4,spdk_bdev,102.56,2
3,Local,0,1,4,spdk_bdev,102.56,3
4,Local,0,1,4,spdk_bdev,102.56,4
5,Local,0,1,4,spdk_bdev,102.56,5
6,Local,0,1,4,spdk_bdev,102.56,6
7,Local,0,1,4,spdk_bdev,102.56,7
8,Local,0,1,4,spdk_bdev,102.56,8
9,Local,0,1,4,spdk_bdev,102.56,9
10,Local,1,16,4,spdk_bdev,1000.0,0
11,Local,1,16,4,spdk_bdev,1000.0,1
12,Local,1,16,4,spdk_bdev,1000.0,2
13,Local,1,16,4,spdk_bdev,1000.0,3
14,Local,1,16,4,spdk_bdev,1000.0,4
15,Local,1,16,4,spdk_bdev,1000.0,5
16,Local,1,16,4,spdk_bdev,1000.0,6
17,Local,1,16,4,spdk_bdev,1000.0,7
18,Local,1,16,4,spdk_bdev,1000.0,8
19,Local,1,16,4,spdk_bdev,1000.0,9
20,Local,2,32,4,spdk_bdev,1333.33,0
21,Local,2,32,4,spdk_bdev,1333.33,1
22,Local,2,32,4,spdk_bdev,1333.33,2
23,Local,2,32,4,spdk_bdev,1333.33,3
24,Local,2,32,4,spdk_bdev,1333.33,4
25,Local,2,32,4,spdk_bdev,1333.33,5
26,Local,2,32,4,spdk_bdev,1333.33,6
27,Local,2,32,4,spdk_bdev,1333.33,7
28,Local,2,32,4,spdk_bdev,1333.33,8
29,Local,2,32,4,spdk_bdev,2000.0,9
30,Local,3,1,10,spdk_bdev,101.01,0
31,Local,3,1,10,spdk_bdev,100.0,1
32,Local,3,1,10,spdk_bdev,101.01,2
33,Local,3,1,10,spdk_bdev,101.01,3
34,Local,3,1,10,spdk_bdev,101.01,4
35,Local,3,1,10,spdk_bdev,101.01,5
36,Local,3,1,10,spdk_bdev,101.01,6
37,Local,3,1,10,spdk_bdev,101.01,7
38,Local,3,1,10,spdk_bdev,101.01,8
39,Local,3,1,10,spdk_bdev,100.0,9
40,Local,4,16,10,spdk_bdev,1250.0,0
41,Local,4,16,10,spdk_bdev,1250.0,1
42,Local,4,16,10,spdk_bdev,1250.0,2
43,Local,4,16,10,spdk_bdev,1250.0,3
44,Local,4,16,10,spdk_bdev,1250.0,4
45,Local,4,16,10,spdk_bdev,1250.0,5
46,Local,4,16,10,spdk_bdev,1250.0,6
47,Local,4,16,10,spdk_bdev,1250.0,7
48,Local,4,16,10,spdk_bdev,1250.0,8
49,Local,4,16,10,spdk_bdev,1250.0,9
50,Local,5,32,10,spdk_bdev,2000.0,0
51,Local,5,32,10,spdk_bdev,2000.0,1
52,Local,5,32,10,spdk_bdev,2000.0,2
53,Local,5,32,10,spdk_bdev,2000.0,3
54,Local,5,32,10,spdk_bdev,2000.0,4
55,Local,5,32,10,spdk_bdev,2000.0,5
56,Local,5,32,10,spdk_bdev,2000.0,6
57,Local,5,32,10,spdk_bdev,2000.0,7
58,Local,5,32,10,spdk_bdev,2000.0,8
59,Local,5,32,10,spdk_bdev,2000.0,9
60,Local,6,1,100,spdk_bdev,101.41,0
61,Local,6,1,100,spdk_bdev,101.41,1
62,Local,6,1,100,spdk_bdev,100.9,2
63,Local,6,1,100,spdk_bdev,100.8,3
64,Local,6,1,100,spdk_bdev,101.11,4
65,Local,6,1,100,spdk_bdev,101.41,5
66,Local,6,1,100,spdk_bdev,101.31,6
67,Local,6,1,100,spdk_bdev,101.41,7
68,Local,6,1,100,spdk_bdev,101.11,8
69,Local,6,1,100,spdk_bdev,101.11,9
70,Local,7,16,100,spdk_bdev,1428.57,0
71,Local,7,16,100,spdk_bdev,1408.45,1
72,Local,7,16,100,spdk_bdev,1428.57,2
73,Local,7,16,100,spdk_bdev,1428.57,3
74,Local,7,16,100,spdk_bdev,1408.45,4
75,Local,7,16,100,spdk_bdev,1449.27,5
76,Local,7,16,100,spdk_bdev,1428.57,6
77,Local,7,16,100,spdk_bdev,1428.57,7
78,Local,7,16,100,spdk_bdev,1428.57,8
79,Local,7,16,100,spdk_bdev,1428.57,9
80,Local,8,32,100,spdk_bdev,2500.0,0
81,Local,8,32,100,spdk_bdev,2500.0,1
82,Local,8,32,100,spdk_bdev,2500.0,2
83,Local,8,32,100,spdk_bdev,2500.0,3
84,Local,8,32,100,spdk_bdev,2500.0,4
85,Local,8,32,100,spdk_bdev,2500.0,5
86,Local,8,32,100,spdk_bdev,2500.0,6
87,Local,8,32,100,spdk_bdev,2564.1,7
88,Local,8,32,100,spdk_bdev,2500.0,8
89,Local,8,32,100,spdk_bdev,2500.0,9
90,Local,9,1,1024,spdk_bdev,101.45,0
91,Local,9,1,1024,spdk_bdev,101.14,1
92,Local,9,1,1024,spdk_bdev,101.37,2
93,Local,9,1,1024,spdk_bdev,101.56,3
94,Local,9,1,1024,spdk_bdev,101.61,4
95,Local,9,1,1024,spdk_bdev,101.22,5
96,Local,9,1,1024,spdk_bdev,101.72,6
