index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,1,4,spdk_bdev,666.66,0
1,Local,0,1,4,spdk_bdev,666.66,1
2,Local,0,1,4,spdk_bdev,666.66,2
3,Local,0,1,4,spdk_bdev,666.66,3
4,Local,0,1,4,spdk_bdev,666.66,4
5,Local,0,1,4,spdk_bdev,666.66,5
6,Local,0,1,4,spdk_bdev,666.66,6
7,Local,0,1,4,spdk_bdev,666.66,7
8,Local,0,1,4,spdk_bdev,666.66,8
9,Local,0,1,4,spdk_bdev,666.66,9
10,Local,1,16,4,spdk_bdev,1333.33,0
11,Local,1,16,4,spdk_bdev,1333.33,1
12,Local,1,16,4,spdk_bdev,1333.33,2
13,Local,1,16,4,spdk_bdev,1333.33,3
14,Local,1,16,4,spdk_bdev,1333.33,4
15,Local,1,16,4,spdk_bdev,1333.33,5
16,Local,1,16,4,spdk_bdev,1333.33,6
17,Local,1,16,4,spdk_bdev,1333.33,7
18,Local,1,16,4,spdk_bdev,1333.33,8
19,Local,1,16,4,spdk_bdev,1333.33,9
20,Local,2,32,4,spdk_bdev,1333.33,0
21,Local,2,32,4,spdk_bdev,1333.33,1
22,Local,2,32,4,spdk_bdev,1333.33,2
23,Local,2,32,4,spdk_bdev,1333.33,3
24,Local,2,32,4,spdk_bdev,1333.33,4
25,Local,2,32,4,spdk_bdev,1333.33,5
26,Local,2,32,4,spdk_bdev,1333.33,6
27,Local,2,32,4,spdk_bdev,1333.33,7
28,Local,2,32,4,spdk_bdev,1333.33,8
29,Local,2,32,4,spdk_bdev,1333.33,9
30,Local,3,1,10,spdk_bdev,714.28,0
31,Local,3,1,10,spdk_bdev,714.28,1
32,Local,3,1,10,spdk_bdev,714.28,2
33,Local,3,1,10,spdk_bdev,714.28,3
34,Local,3,1,10,spdk_bdev,714.28,4
35,Local,3,1,10,spdk_bdev,714.28,5
36,Local,3,1,10,spdk_bdev,714.28,6
37,Local,3,1,10,spdk_bdev,714.28,7
38,Local,3,1,10,spdk_bdev,714.28,8
39,Local,3,1,10,spdk_bdev,714.28,9
40,Local,4,16,10,spdk_bdev,2000.0,0
41,Local,4,16,10,spdk_bdev,2000.0,1
42,Local,4,16,10,spdk_bdev,2000.0,2
43,Local,4,16,10,spdk_bdev,2000.0,3
44,Local,4,16,10,spdk_bdev,2000.0,4
45,Local,4,16,10,spdk_bdev,2000.0,5
46,Local,4,16,10,spdk_bdev,2000.0,6
47,Local,4,16,10,spdk_bdev,2000.0,7
48,Local,4,16,10,spdk_bdev,2000.0,8
49,Local,4,16,10,spdk_bdev,2000.0,9
50,Local,5,32,10,spdk_bdev,2000.0,0
51,Local,5,32,10,spdk_bdev,2000.0,1
52,Local,5,32,10,spdk_bdev,2000.0,2
53,Local,5,32,10,spdk_bdev,2000.0,3
54,Local,5,32,10,spdk_bdev,2000.0,4
55,Local,5,32,10,spdk_bdev,2000.0,5
56,Local,5,32,10,spdk_bdev,2000.0,6
57,Local,5,32,10,spdk_bdev,2000.0,7
58,Local,5,32,10,spdk_bdev,2000.0,8
59,Local,5,32,10,spdk_bdev,2000.0,9
60,Local,6,1,100,spdk_bdev,757.57,0
61,Local,6,1,100,spdk_bdev,757.57,1
62,Local,6,1,100,spdk_bdev,757.57,2
63,Local,6,1,100,spdk_bdev,751.87,3
64,Local,6,1,100,spdk_bdev,751.87,4
65,Local,6,1,100,spdk_bdev,746.26,5
66,Local,6,1,100,spdk_bdev,757.57,6
67,Local,6,1,100,spdk_bdev,746.26,7
68,Local,6,1,100,spdk_bdev,746.26,8
69,Local,6,1,100,spdk_bdev,746.26,9
70,Local,7,16,100,spdk_bdev,2083.33,0
71,Local,7,16,100,spdk_bdev,2083.33,1
72,Local,7,16,100,spdk_bdev,2083.33,2
73,Local,7,16,100,spdk_bdev,2127.65,3
74,Local,7,16,100,spdk_bdev,2083.33,4
75,Local,7,16,100,spdk_bdev,2083.33,5
76,Local,7,16,100,spdk_bdev,2083.33,6
77,Local,7,16,100,spdk_bdev,2083.33,7
78,Local,7,16,100,spdk_bdev,2083.33,8
79,Local,7,16,100,spdk_bdev,2083.33,9
80,Local,8,32,100,spdk_bdev,2083.33,0
81,Local,8,32,100,spdk_bdev,2083.33,1
82,Local,8,32,100,spdk_bdev,2127.65,2
83,Local,8,32,100,spdk_bdev,2083.33,3
84,Local,8,32,100,spdk_bdev,2083.33,4
85,Local,8,32,100,spdk_bdev,2083.33,5
86,Local,8,32,100,spdk_bdev,2083.33,6
87,Local,8,32,100,spdk_bdev,2083.33,7
88,Local,8,32,100,spdk_bdev,2083.33,8
