index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,1,4,spdk_bdev,285.71,0
1,Local,0,1,4,spdk_bdev,285.71,1
2,Local,0,1,4,spdk_bdev,285.71,2
3,Local,0,1,4,spdk_bdev,285.71,3
4,Local,0,1,4,spdk_bdev,285.71,4
5,Local,0,1,4,spdk_bdev,285.71,5
6,Local,0,1,4,spdk_bdev,285.71,6
7,Local,0,1,4,spdk_bdev,285.71,7
8,Local,0,1,4,spdk_bdev,285.71,8
9,Local,0,1,4,spdk_bdev,285.71,9
10,Local,1,16,4,spdk_bdev,285.71,0
11,Local,1,16,4,spdk_bdev,285.71,1
12,Local,1,16,4,spdk_bdev,285.71,2
13,Local,1,16,4,spdk_bdev,285.71,3
14,Local,1,16,4,spdk_bdev,285.71,4
15,Local,1,16,4,spdk_bdev,285.71,5
16,Local,1,16,4,spdk_bdev,285.71,6
17,Local,1,16,4,spdk_bdev,285.71,7
18,Local,1,16,4,spdk_bdev,285.71,8
19,Local,1,16,4,spdk_bdev,285.71,9
20,Local,2,32,4,spdk_bdev,285.71,0
21,Local,2,32,4,spdk_bdev,285.71,1
22,Local,2,32,4,spdk_bdev,285.71,2
23,Local,2,32,4,spdk_bdev,285.71,3
24,Local,2,32,4,spdk_bdev,285.71,4
25,Local,2,32,4,spdk_bdev,285.71,5
26,Local,2,32,4,spdk_bdev,285.71,6
27,Local,2,32,4,spdk_bdev,285.71,7
28,Local,2,32,4,spdk_bdev,285.71,8
29,Local,2,32,4,spdk_bdev,285.71,9
30,Local,3,1,10,spdk_bdev,444.44,0
31,Local,3,1,10,spdk_bdev,444.44,1
32,Local,3,1,10,spdk_bdev,444.44,2
33,Local,3,1,10,spdk_bdev,444.44,3
34,Local,3,1,10,spdk_bdev,444.44,4
35,Local,3,1,10,spdk_bdev,444.44,5
36,Local,3,1,10,spdk_bdev,444.44,6
37,Local,3,1,10,spdk_bdev,444.44,7
38,Local,3,1,10,spdk_bdev,444.44,8
39,Local,3,1,10,spdk_bdev,444.44,9
40,Local,4,16,10,spdk_bdev,421.05,0
41,Local,4,16,10,spdk_bdev,421.05,1
42,Local,4,16,10,spdk_bdev,421.05,2
43,Local,4,16,10,spdk_bdev,444.44,3
44,Local,4,16,10,spdk_bdev,421.05,4
45,Local,4,16,10,spdk_bdev,421.05,5
46,Local,4,16,10,spdk_bdev,444.44,6
47,Local,4,16,10,spdk_bdev,421.05,7
48,Local,4,16,10,spdk_bdev,421.05,8
49,Local,4,16,10,spdk_bdev,444.44,9
50,Local,5,32,10,spdk_bdev,421.05,0
51,Local,5,32,10,spdk_bdev,421.05,1
52,Local,5,32,10,spdk_bdev,444.44,2
53,Local,5,32,10,spdk_bdev,421.05,3
54,Local,5,32,10,spdk_bdev,421.05,4
55,Local,5,32,10,spdk_bdev,444.44,5
56,Local,5,32,10,spdk_bdev,444.44,6
57,Local,5,32,10,spdk_bdev,421.05,7
58,Local,5,32,10,spdk_bdev,421.05,8
59,Local,5,32,10,spdk_bdev,421.05,9
60,Local,6,1,100,spdk_bdev,2777.77,0
61,Local,6,1,100,spdk_bdev,2777.77,1
62,Local,6,1,100,spdk_bdev,2777.77,2
63,Local,6,1,100,spdk_bdev,2777.77,3
64,Local,6,1,100,spdk_bdev,2777.77,4
65,Local,6,1,100,spdk_bdev,2777.77,5
66,Local,6,1,100,spdk_bdev,2777.77,6
67,Local,6,1,100,spdk_bdev,2777.77,7
68,Local,6,1,100,spdk_bdev,2040.81,8
69,Local,6,1,100,spdk_bdev,2777.77,9
70,Local,7,16,100,spdk_bdev,2857.14,0
71,Local,7,16,100,spdk_bdev,2857.14,1
72,Local,7,16,100,spdk_bdev,2857.14,2
73,Local,7,16,100,spdk_bdev,2857.14,3
74,Local,7,16,100,spdk_bdev,2857.14,4
75,Local,7,16,100,spdk_bdev,2857.14,5
76,Local,7,16,100,spdk_bdev,2857.14,6
77,Local,7,16,100,spdk_bdev,2857.14,7
78,Local,7,16,100,spdk_bdev,2857.14,8
79,Local,7,16,100,spdk_bdev,2857.14,9
80,Local,8,32,100,spdk_bdev,2777.77,0
81,Local,8,32,100,spdk_bdev,2777.77,1
82,Local,8,32,100,spdk_bdev,2000.0,2
83,Local,8,32,100,spdk_bdev,2777.77,3
84,Local,8,32,100,spdk_bdev,2777.77,4
85,Local,8,32,100,spdk_bdev,2777.77,5
86,Local,8,32,100,spdk_bdev,2777.77,6
87,Local,8,32,100,spdk_bdev,2777.77,7
88,Local,8,32,100,spdk_bdev,2777.77,8
89,Local,8,32,100,spdk_bdev,2777.77,9
90,Local,9,1,1024,spdk_bdev,4452.17,0
91,Local,9,1,1024,spdk_bdev,4740.74,1
92,Local,9,1,1024,spdk_bdev,4491.22,2
93,Local,9,1,1024,spdk_bdev,4511.01,3
94,Local,9,1,1024,spdk_bdev,4452.17,4
95,Local,9,1,1024,spdk_bdev,4740.74,5
96,Local,9,1,1024,spdk_bdev,4530.97,6
97,Local,9,1,1024,spdk_bdev,4511.01,7
98,Local,9,1,1024,spdk_bdev,4511.01,8
99,Local,9,1,1024,spdk_bdev,4785.04,9
100,Local,10,16,1024,spdk_bdev,5361.25,0
101,Local,10,16,1024,spdk_bdev,5389.47,1
102,Local,10,16,1024,spdk_bdev,5919.07,2
103,Local,10,16,1024,spdk_bdev,5389.47,3
104,Local,10,16,1024,spdk_bdev,5389.47,4
105,Local,10,16,1024,spdk_bdev,5446.8,5
106,Local,10,16,1024,spdk_bdev,5818.18,6
107,Local,10,16,1024,spdk_bdev,5417.98,7
108,Local,10,16,1024,spdk_bdev,5417.98,8
109,Local,10,16,1024,spdk_bdev,5417.98,9
110,Local,11,32,1024,spdk_bdev,5752.8,0
111,Local,11,32,1024,spdk_bdev,5389.47,1
112,Local,11,32,1024,spdk_bdev,5333.33,2
113,Local,11,32,1024,spdk_bdev,5851.42,3
114,Local,11,32,1024,spdk_bdev,5389.47,4
115,Local,11,32,1024,spdk_bdev,5333.33,5
116,Local,11,32,1024,spdk_bdev,5333.33,6
117,Local,11,32,1024,spdk_bdev,5785.31,7
118,Local,11,32,1024,spdk_bdev,5333.33,8
119,Local,11,32,1024,spdk_bdev,5389.47,9
120,Local,12,1,4,libaio,266.66,0
121,Local,12,1,4,libaio,2000.0,1
122,Local,12,1,4,libaio,2000.0,2
123,Local,12,1,4,libaio,2000.0,3
124,Local,12,1,4,libaio,2000.0,4
125,Local,12,1,4,libaio,2000.0,5
126,Local,12,1,4,libaio,2000.0,6
127,Local,12,1,4,libaio,2000.0,7
128,Local,12,1,4,libaio,2000.0,8
129,Local,12,1,4,libaio,2000.0,9
130,Local,13,16,4,libaio,1333.33,0
131,Local,13,16,4,libaio,1333.33,1
132,Local,13,16,4,libaio,1000.0,2
133,Local,13,16,4,libaio,1333.33,3
134,Local,13,16,4,libaio,1333.33,4
135,Local,13,16,4,libaio,1333.33,5
136,Local,13,16,4,libaio,1333.33,6
137,Local,13,16,4,libaio,1000.0,7
138,Local,13,16,4,libaio,1333.33,8
139,Local,13,16,4,libaio,1333.33,9
140,Local,14,32,4,libaio,1333.33,0
141,Local,14,32,4,libaio,1333.33,1
142,Local,14,32,4,libaio,1000.0,2
143,Local,14,32,4,libaio,1333.33,3
144,Local,14,32,4,libaio,1333.33,4
145,Local,14,32,4,libaio,1333.33,5
146,Local,14,32,4,libaio,1333.33,6
147,Local,14,32,4,libaio,1000.0,7
148,Local,14,32,4,libaio,1333.33,8
149,Local,14,32,4,libaio,1333.33,9
150,Local,15,1,10,libaio,2666.66,0
151,Local,15,1,10,libaio,2666.66,1
152,Local,15,1,10,libaio,2666.66,2
153,Local,15,1,10,libaio,2666.66,3
154,Local,15,1,10,libaio,2666.66,4
155,Local,15,1,10,libaio,2666.66,5
156,Local,15,1,10,libaio,2666.66,6
157,Local,15,1,10,libaio,2666.66,7
158,Local,15,1,10,libaio,2666.66,8
159,Local,15,1,10,libaio,2666.66,9
160,Local,16,16,10,libaio,2000.0,0
161,Local,16,16,10,libaio,2000.0,1
162,Local,16,16,10,libaio,1600.0,2
163,Local,16,16,10,libaio,2000.0,3
164,Local,16,16,10,libaio,2000.0,4
165,Local,16,16,10,libaio,2000.0,5
166,Local,16,16,10,libaio,2000.0,6
167,Local,16,16,10,libaio,1600.0,7
168,Local,16,16,10,libaio,2000.0,8
169,Local,16,16,10,libaio,2000.0,9
170,Local,17,32,10,libaio,2000.0,0
171,Local,17,32,10,libaio,2000.0,1
172,Local,17,32,10,libaio,1600.0,2
173,Local,17,32,10,libaio,2000.0,3
174,Local,17,32,10,libaio,2000.0,4
175,Local,17,32,10,libaio,2000.0,5
176,Local,17,32,10,libaio,2000.0,6
177,Local,17,32,10,libaio,1600.0,7
178,Local,17,32,10,libaio,2000.0,8
179,Local,17,32,10,libaio,2000.0,9
180,Local,18,1,100,libaio,4761.9,0
181,Local,18,1,100,libaio,4761.9,1
182,Local,18,1,100,libaio,4545.45,2
183,Local,18,1,100,libaio,4761.9,3
184,Local,18,1,100,libaio,4761.9,4
185,Local,18,1,100,libaio,3571.42,5
186,Local,18,1,100,libaio,4761.9,6
187,Local,18,1,100,libaio,4761.9,7
188,Local,18,1,100,libaio,4761.9,8
189,Local,18,1,100,libaio,4545.45,9
190,Local,19,16,100,libaio,3846.15,0
191,Local,19,16,100,libaio,3846.15,1
192,Local,19,16,100,libaio,3703.7,2
193,Local,19,16,100,libaio,3846.15,3
194,Local,19,16,100,libaio,3846.15,4
195,Local,19,16,100,libaio,3846.15,5
196,Local,19,16,100,libaio,3703.7,6
197,Local,19,16,100,libaio,3846.15,7
198,Local,19,16,100,libaio,3846.15,8
199,Local,19,16,100,libaio,2941.17,9
200,Local,20,32,100,libaio,4347.82,0
201,Local,20,32,100,libaio,5882.35,1
202,Local,20,32,100,libaio,3225.8,2
203,Local,20,32,100,libaio,3225.8,3
204,Local,20,32,100,libaio,3225.8,4
205,Local,20,32,100,libaio,3225.8,5
206,Local,20,32,100,libaio,3225.8,6
207,Local,20,32,100,libaio,3225.8,7
208,Local,20,32,100,libaio,3125.0,8
209,Local,20,32,100,libaio,3225.8,9
210,Local,21,1,1024,libaio,4762.79,0
211,Local,21,1,1024,libaio,4633.48,1
212,Local,21,1,1024,libaio,5069.3,2
213,Local,21,1,1024,libaio,4718.89,3
214,Local,21,1,1024,libaio,4785.04,4
215,Local,21,1,1024,libaio,4718.89,5
216,Local,21,1,1024,libaio,4970.87,6
217,Local,21,1,1024,libaio,4762.79,7
218,Local,21,1,1024,libaio,4740.74,8
219,Local,21,1,1024,libaio,4830.18,9
220,Local,22,16,1024,libaio,5885.05,0
221,Local,22,16,1024,libaio,5657.45,1
222,Local,22,16,1024,libaio,5688.88,2
223,Local,22,16,1024,libaio,6131.73,3
224,Local,22,16,1024,libaio,5688.88,4
225,Local,22,16,1024,libaio,5657.45,5
226,Local,22,16,1024,libaio,5657.45,6
227,Local,22,16,1024,libaio,6131.73,7
228,Local,22,16,1024,libaio,5657.45,8
229,Local,22,16,1024,libaio,5657.45,9
230,Local,23,32,1024,libaio,5626.37,0
231,Local,23,32,1024,libaio,5595.62,1
232,Local,23,32,1024,libaio,5446.8,2
233,Local,23,32,1024,libaio,5446.8,3
234,Local,23,32,1024,libaio,5851.42,4
235,Local,23,32,1024,libaio,5389.47,5
236,Local,23,32,1024,libaio,5446.8,6
237,Local,23,32,1024,libaio,5389.47,7
238,Local,23,32,1024,libaio,5885.05,8
239,Local,23,32,1024,libaio,5361.25,9
